City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Kahului,US,84.2,clear sky,20.89,-156.47,Maui Seaside Hotel
Port Blair,IN,82.76,moderate rain,11.67,92.75,Fortune Resort Bay Island
Biak,ID,83.62,light rain,-0.91,122.88,Kost Ariz
Kapaa,US,78.8,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
Lufilufi,WS,86.0,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
Cayenne,GF,75.2,clear sky,4.93,-52.33,Hôtel Le Dronmi
La Orilla,MX,78.53,overcast clouds,17.98,-102.23,Baymont by Wyndham Lazaro Cardenas
Grand Gaube,MU,79.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
Labuhan,ID,80.65,light rain,-6.88,112.21,bador sepret
Lorengau,PG,83.62,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
Butaritari,KI,82.02,scattered clouds,3.07,172.79,Isles Sunset Lodge
Isangel,VU,82.4,broken clouds,-19.55,169.27,Volcano Sea View Tree House
Bajil,YE,85.15,clear sky,15.06,43.29,فندق الصقر السياحي
Souillac,MU,77.0,scattered clouds,-20.52,57.52,Bils' Villa
Ixtapa,MX,82.4,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
Busselton,AU,81.0,clear sky,-33.65,115.33,Observatory Guest House
Bengkulu,ID,83.97,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
Mogadishu,SO,78.8,broken clouds,2.04,45.34,Hotel Juba
Sungaipenuh,ID,79.68,broken clouds,-2.08,101.38,Hotel Jaya Wisata 2
Touros,BR,75.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
Porbandar,IN,84.2,few clouds,21.64,69.61,Lords Inn Porbandar
Bambous Virieux,MU,79.0,scattered clouds,-20.34,57.76,Casa Tia Villa
Coahuayana,MX,79.65,overcast clouds,18.73,-103.68,Hotel Los Arcos
Saint-Pierre,RE,79.0,broken clouds,-21.34,55.48,Lindsey Hôtel
Nhulunbuy,AU,87.8,few clouds,-12.23,136.77,East Arnhem Real Estate
Madang,PG,83.91,broken clouds,-5.22,145.8,Comfort Inn Hotel
Hambantota,LK,86.0,scattered clouds,6.12,81.12,Bungalow 63
Lake Havasu City,US,84.2,scattered clouds,34.48,-114.32,Heat Hotel
Atuona,PF,78.31,clear sky,-9.8,-139.03,Villa Enata
Mahebourg,MU,77.0,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
Sao Filipe,CV,79.86,overcast clouds,14.9,-24.5,Tortuga B&B
Lethem,GY,78.03,few clouds,3.38,-59.8,Savannah Inn
Harper,LR,76.06,moderate rain,4.38,-7.72,Screensaver
Bathsheba,BB,77.0,few clouds,13.22,-59.52,Atlantis Hotel
Alibag,IN,84.2,haze,18.64,72.88,"Radisson Blu Resort & Spa - Alibaug, India"
Avarua,CK,77.0,scattered clouds,-21.21,-159.78,Paradise Inn
Meulaboh,ID,87.37,broken clouds,4.14,96.13,Kost Pria
Kavieng,PG,85.66,broken clouds,-2.57,150.8,Nusa Island Retreat
Itaituba,BR,76.14,broken clouds,-4.28,-55.98,Hotel Campos
Sinnamary,GF,79.45,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
Dingle,PH,84.94,light rain,11.0,122.67,Camp Pasica
Pontianak,ID,89.85,broken clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
Hilo,US,77.0,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
Ibra,OM,89.08,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
Carnarvon,AU,75.2,scattered clouds,-24.87,113.63,Hospitality Carnarvon
Hithadhoo,MV,83.28,broken clouds,-0.6,73.08,Scoop Guest House
Chapada Dos Guimaraes,BR,77.0,moderate rain,-15.46,-55.75,Pousada Morro Dos Ventos
Axim,GH,76.95,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
Banjarmasin,ID,80.6,scattered clouds,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
Victoria,HK,80.01,clear sky,22.29,114.16,Mini Hotel Central
Kwinana,AU,82.99,clear sky,-32.25,115.77,Devon House
Kloulklubed,PW,78.8,light intensity shower rain,7.04,134.26,Storyboard Beach Resort
Umm Lajj,SA,89.49,clear sky,25.02,37.27,Moon light Furnished Units
Cabo San Lucas,MX,82.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
Qui Nhon,VN,81.99,moderate rain,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
Cabatuan,PH,85.23,moderate rain,10.88,122.49,Tobias Hime
Port Hedland,AU,87.8,clear sky,-20.32,118.57,The Esplanade Hotel
Georgetown,MY,87.8,light rain,5.41,100.34,Cititel Penang
Mangrol,IN,85.69,broken clouds,21.12,70.12,Hotel The Royal Honours
Cockburn Town,TC,82.09,overcast clouds,21.46,-71.14,Osprey Beach Hotel
Vaitape,PF,80.35,broken clouds,-16.52,-151.75,Conrad Bora Bora Nui
Turbat,PK,87.08,clear sky,26.0,63.04,Mubashar Quarters
Banda Aceh,ID,89.19,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
Matara,LK,85.95,light rain,5.95,80.54,Amaloh Boutique Resort
Quatre Cocos,MU,79.0,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
Bandarbeyla,SO,81.66,clear sky,9.49,50.81,REER XOOSHLE GROUP
Monrovia,LR,76.32,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
Itarema,BR,79.86,scattered clouds,-2.92,-39.92,Windvillage
Faanui,PF,79.54,broken clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
Saint-Philippe,RE,79.0,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
Shirgaon,IN,82.4,haze,19.7,72.7,LAXMI GARDEN BEACH RESORT
Todos Santos,MX,80.01,clear sky,23.45,-110.22,Hotel California Todos Santos
Samarai,PG,81.97,broken clouds,-10.62,150.67,Nuli Sapi
Puerto Escondido,MX,78.8,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
Namatanai,PG,85.57,broken clouds,-3.67,152.43,Namatanai Hotel
Jiazi,CN,77.65,scattered clouds,22.88,116.07,Hotel Jin Hao
Port Said,EG,77.0,few clouds,31.26,32.28,Aracan Hotel
Hwange,ZW,75.38,clear sky,-18.37,26.5,Hwange Colliery Guest House
Tiarei,PF,84.0,few clouds,-17.53,-149.33,Le Rocher de Tahiti
Boyolangu,ID,84.04,light rain,-8.12,111.89,Yos ega cv
Kon Tum,VN,77.72,light rain,14.35,108.0,Hoa đà spa- homestay
Ewa Beach,US,82.4,few clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
Pyay,MM,85.75,moderate rain,18.82,95.22,Shwe Pyi Thar
Diffa,NE,81.16,clear sky,13.32,12.61,ProDAF/Diffa
Lagoa Do Itaenga,BR,77.0,scattered clouds,-7.94,-35.29,Hotel Dois Corações
Olinda,BR,77.0,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
Mecca,SA,86.43,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
Buenavista,PH,81.25,light rain,8.98,125.41,Brett Swimming Pool Club
Kokopo,PG,84.27,light rain,-4.35,152.26,Kokopo Beach Bungalow Resort
Tautira,PF,84.0,few clouds,-17.73,-149.15,Pension Oaoa
Tura,IN,87.19,clear sky,25.52,90.22,Hotel RIKMAN Continental
Avanigadda,IN,84.2,light rain,16.02,80.92,AP Camping
Kanniyakumari,IN,83.64,overcast clouds,8.08,77.57,Sparsa
Bubaque,GW,81.63,clear sky,11.28,-15.83,Casa Dora - Mango Lodge
Doha,QA,88.0,clear sky,25.29,51.53,Doha Marriott Hotel
Samana,DO,76.73,broken clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
San Patricio,US,78.8,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
Manokwari,ID,78.51,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
Auki,SB,82.65,moderate rain,-8.77,160.7,Auki Motel
Abu Dhabi,AE,80.6,clear sky,24.47,54.37,Beach Rotana
Hobyo,SO,81.14,scattered clouds,5.35,48.53,Osmani Hotel
Bandarban,BD,89.6,broken clouds,22.2,92.23,Hotel Plaza
Airai,TL,80.31,broken clouds,-8.93,125.41,Juvinal Martin
Salalah,OM,80.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
Puerto Cabezas,NI,77.47,broken clouds,14.04,-83.39,Hotel Caribe
Zacualpan,MX,82.4,scattered clouds,21.25,-105.17,La Colorada B&B
Kandrian,PG,82.44,overcast clouds,-6.22,149.55,Kandrian Station
Jizan,SA,80.6,clear sky,17.33,42.67,شهدان. ابوالحجر
Sambava,MG,77.79,few clouds,-14.27,50.17,Melrose
Kirakira,SB,83.23,moderate rain,-10.45,161.92,SanBiz Lodge
Sablan,PH,79.97,few clouds,16.49,120.5,"High Acres Camp Ministries, Inc."
Bac Lieu,VN,85.59,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
Padang,ID,87.06,few clouds,-0.95,100.35,Mercure Padang
Cap Malheureux,MU,79.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
Kismayo,SO,80.64,scattered clouds,-0.36,42.55,Agan-Hotel
Kita,ML,75.45,clear sky,13.03,-9.49,Hôtel Nelson Mandela
Itoman,JP,86.0,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
Chabahar,IR,77.0,few clouds,25.29,60.64,هتل گدروشیا
Salinopolis,BR,78.42,scattered clouds,-0.61,-47.36,Hotel Salinópolis
Tutoia,BR,79.81,scattered clouds,-2.76,-42.27,Pousada Guará's
Teknaf,BD,86.16,overcast clouds,20.86,92.31,Magnum Engineering & Construction
Lahaina,US,84.2,clear sky,20.88,-156.68,Lahaina Shores Beach Resort
Kapit,MY,86.18,scattered clouds,2.02,112.93,Hotel Meligai Kapit
Port Lavaca,US,80.01,clear sky,28.61,-96.63,Holiday Inn Express & Suites Port Lavaca
Narrabri,AU,75.2,few clouds,-30.32,149.78,Crossroads Hotel
Kendari,ID,87.57,broken clouds,-3.94,122.5,Hotel Wixel
El Roble,CO,75.63,overcast clouds,9.1,-75.2,Hotel los Robles
Ambon,ID,89.6,few clouds,-3.7,128.18,Swiss-Belhotel Ambon
Chima,IN,82.4,haze,30.69,76.09,Garry Aujla’s
Palembang,ID,87.8,scattered clouds,-2.92,104.75,ASTON Palembang Hotel & Conference Center
Rivadavia,AR,77.0,clear sky,-33.19,-68.46,Posada Del Fin Del Mundo
Marsh Harbour,BS,81.3,overcast clouds,26.54,-77.06,Abaco Beach Resort
Kalmunai,LK,87.37,overcast clouds,7.42,81.82,VS Villa
Mazagao,BR,80.6,scattered clouds,-0.12,-51.29,Casa Lima Santos
Carutapera,BR,77.04,scattered clouds,-1.2,-46.02,Lidera
Lajas,PR,77.0,scattered clouds,18.05,-67.06,Oasis Parador Hotel
Boa Vista,BR,82.4,scattered clouds,2.82,-60.67,Aipana Plaza Hotel
Buala,SB,84.78,light rain,-8.14,159.59,Maringe Lagoon Lodge
Trinidad,BO,79.88,clear sky,-14.83,-64.9,Hotel Piesta
Waingapu,ID,87.98,moderate rain,-9.66,120.26,Pondok Wisata Elim
Trairi,BR,80.11,light rain,-3.28,-39.27,Pousada Field Lilies - Trairi
Yulara,AU,75.2,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
Parnarama,BR,79.45,overcast clouds,-5.68,-43.09,Aluguel de apartamentos
Tecoanapa,MX,80.96,overcast clouds,16.52,-98.75,Hotel Manglares
La Asuncion,VE,80.22,clear sky,11.03,-63.86,Colinas de Matasiete
Sola,VU,82.4,overcast clouds,-13.88,167.55,Leumerus Bungalows
Hays,US,75.99,clear sky,30.05,-98.03,Sinya on Lone Man Creek
Lumphat,KH,79.68,overcast clouds,13.49,106.98,Lumphat Homestay
Atar,MR,83.28,few clouds,20.52,-13.05,Oumou Elghoura
Kongoussi,BF,82.89,few clouds,13.33,-1.53,Hotel Têed Wende
Port-Gentil,GA,78.12,moderate rain,-0.72,8.78,Fengshui Residence
Itupiranga,BR,78.8,scattered clouds,-5.13,-49.33,JAIRO ORLINDO VIEIRA
Lazaro Cardenas,MX,79.21,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
Haapiti,PF,84.0,few clouds,-17.57,-149.87,Linareva Moorea Beach Resort
Sumenep,ID,84.61,overcast clouds,-7.02,113.87,OYO 3271 Homestay Pandian
Gwadar,PK,82.47,clear sky,25.12,62.33,Sadaf Resort
Nha Trang,VN,87.8,scattered clouds,12.25,109.18,Hanoi Golden Hotel
Natal,BR,75.2,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
Mangan,IN,82.78,light rain,27.52,88.53,Hotel Mout View
Rock Sound,BS,81.57,overcast clouds,24.9,-76.2,Rock Sound Club
Kavaratti,IN,84.2,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
Kiunga,PG,88.5,light rain,-6.12,141.29,Airport Lodge Kiunga
Karratha,AU,86.77,clear sky,-20.74,116.85,ibis Styles Karratha
Yurimaguas,PE,75.34,few clouds,-5.9,-76.08,Rio Huallaga Hotel & Business Center
Damietta,EG,77.0,few clouds,31.42,31.81,العواد لتجارة الابلكاش
Myitkyina,MM,81.1,overcast clouds,25.38,97.4,Shwe Phyu Hotel
Jeremie,HT,79.11,heavy intensity rain,18.65,-74.12,Auberge’Inn
Nhamunda,BR,78.19,broken clouds,-2.19,-56.71,Pousada Da Praia
Sur,OM,85.98,few clouds,22.57,59.53,Sur Plaza Hotel
